finalserialno,a01,a02,a03,region,recontact,agency,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,edlevel,turnoutValidationReg
11123,"the issue is by letting people from other country in, babies born today when they grow. Then  in the future, there will be no land left. tThe land will be taken to build the houses, road, factories, because we are only a little island.",Don`t know,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,08/07/2017,1,1,1,GCSE,Voted
11126,"immigration, we are allowing too many immigrants to come in , should have been a ban of some of them on cert___ain people.",Conservatives,Not very interested,East Midlands,No,GfK,Daventry,E14000660,13/07/2017,1,2,2,No qualifications,Voted
11216,"TOO MANY PEOPLE LIVING IN IT, BURST IN THE SEAM",Conservatives,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,13/07/2017,1,1,1,No qualifications,
11217,"brexit, what is going to happen, changes to the economy and what it means for my children future and any impacts regarding terrorism.",Conservatives,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,14/07/2017,1,2,2,Undergraduate,Voted
11218,"brexit negotiation, atttitude toward people coming to the country , i think it is wrong morally and economically. people who already here from EU union is stress for them.",Labour,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,03/08/2017,1,1,1,A-level,Voted
11219,"NATIONAL HEALTH SERVICE, TERRIBLE INEFFICIENCY , DOES NOT USE RESOUCES EFFECTIVELY",None/No party,Fairly interested,East Midlands,No,GfK,Daventry,E14000660,12/07/2017,1,2,2,Postgrad,Not voted-unregistered
11221,"Everything is going down hill, like the road, council less money, provide bins , keep up the road, they less money to provide services like genral keeping up the country.",Don`t know,Not at all interested,East Midlands,No,GfK,Daventry,E14000660,20/07/2017,1,2,2,GCSE,
11222,"THE CONFIDENCE IN THE ECONOMY, THE CONTINUITY OF WORKS",Conservatives,Not at all interested,East Midlands,No,GfK,Daventry,E14000660,12/07/2017,1,1,1,GCSE,Not voted-registered
11223,"EXTRIMIST, TERRORISM, WE HAVE ALREADY HAD EXTRIMIST IN THE UK, GENERAL WORLDWIDE SITUATION AND IDEOLOGY",Conservatives,Not very interested,East Midlands,No,GfK,Daventry,E14000660,12/07/2017,1,1,1,Undergraduate,Voted
11508,Unsettlement and disgruntlement between people,Don`t know,Fairly interested,East Midlands,Yes,Kantar,Derby Sout,E14000663,10/07/2017,1,1,1,Postgrad,Voted
11515,more jobs with fair pay,None/No party,Not at all interested,East Midlands,No,Kantar,Derby Sout,E14000663,08/08/2017,1,1,1,No qualifications,
11518,not enough jobs,None/No party,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,06/07/2017,1,1,1,No qualifications,
11520,more jobs,Labour,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,12/08/2017,1,1,2,GCSE,
11521,Addressing current thug culture,Don`t know,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,21/08/2017,1,1,1,Postgrad,
11523,Not enough affordable housing,Labour,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,05/08/2017,1,1,5,GCSE,
11524,Unemployment - after graduating from university more jobs required.,Liberal Democrats,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,10/07/2017,1,1,2,Undergraduate,Voted
11610,Immigration,Conservatives,Fairly interested,East Midlands,Yes,Kantar,Derby Sout,E14000663,13/07/2017,1,1,2,No qualifications,Voted
11615,brexit - coming out with best outcome,Labour,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,12/08/2017,1,1,2,Postgrad,
11617,Would change to a majority government capable of leading the country.,None/No party,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,31/07/2017,1,1,1,A-level,
11618,Getting out of Europe,Conservatives,Not very interested,East Midlands,No,Kantar,Derby Sout,E14000663,02/08/2017,1,1,2,Undergraduate,Voted
11620,Need more jobs care for elderly people,Labour,Fairly interested,East Midlands,No,Kantar,Derby Sout,E14000663,02/08/2017,1,1,1,Undergraduate,
11621,Not enough jobs for particular children coming out of education.,None/No party,Not very interested,East Midlands,No,Kantar,Derby Sout,E14000663,25/07/2017,1,1,2,No qualifications,
11716,economy,Conservatives,Fairly interested,East Midlands,No,GfK,Grantham a,E14000714,30/06/2017,1,1,2,No qualifications,Voted
11723,osterity,Labour,Fairly interested,East Midlands,No,GfK,Grantham a,E14000714,30/06/2017,1,1,3,No qualifications,Voted
11815,immergration,None/No party,Fairly interested,East Midlands,No,GfK,Grantham a,E14000714,30/06/2017,1,1,2,GCSE,Voted
11821,terrorisim,Don`t know,Not at all interested,East Midlands,No,GfK,Grantham a,E14000714,30/06/2017,1,1,2,No qualifications,Voted
11826,brexit,Other,Very interested,East Midlands,No,GfK,Grantham a,E14000714,30/06/2017,1,1,2,Postgrad,Voted
11919,tories,Labour,Fairly interested,East Midlands,No,GfK,Harborough,E14000728,05/07/2017,1,1,1,Below GCSE,Voted
11920,brexit alot of division in the countey becuase of it and it was entirely unessecesaary and you start to question democracy with that type of vote,Conservatives,Fairly interested,East Midlands,No,GfK,Harborough,E14000728,18/09/2017,1,1,2,Undergraduate,Voted
11923,brexit,Labour,Very interested,East Midlands,No,GfK,Harborough,E14000728,25/09/2017,1,1,1,GCSE,Not voted-unregistered
11924,terro attacks,Labour,Very interested,East Midlands,No,GfK,Harborough,E14000728,05/07/2017,1,1,1,Undergraduate,Voted
11925,common market lets get out of it sooner we leave the better,Conservatives,Very interested,East Midlands,No,GfK,Harborough,E14000728,15/09/2017,1,1,2,No qualifications,Voted
12018,brexit,Labour,Fairly interested,East Midlands,No,GfK,Harborough,E14000728,23/09/2017,1,1,1,Undergraduate,Voted
12019,financial,Conservatives,Fairly interested,East Midlands,No,GfK,Harborough,E14000728,04/07/2017,1,1,1,No qualifications,Not voted-registered
12021,immergration,Conservatives,Not very interested,East Midlands,No,GfK,Harborough,E14000728,04/07/2017,1,1,2,No qualifications,Voted
12022,immergrants,None/No party,Not at all interested,East Midlands,No,GfK,Harborough,E14000728,04/07/2017,1,1,2,GCSE,
12025,immergration,Conservatives,Very interested,East Midlands,No,GfK,Harborough,E14000728,04/07/2017,1,1,3,No qualifications,Voted
12318,maintaining a stabele future for the next generation and a strong moral ethic,None/No party,Fairly interested,East Midlands,No,Kantar,Lincoln,E14000792,12/07/2017,1,1,2,Undergraduate,Voted
12324,social  classes and the split between them,Labour,Fairly interested,East Midlands,No,Kantar,Lincoln,E14000792,21/08/2017,1,1,2,A-level,Voted
12408,brexit how are we going to get with import and export,Conservatives,Fairly interested,East Midlands,Yes,Kantar,Lincoln,E14000792,20/07/2017,1,1,2,No qualifications,Voted
12415,amount of foreigners coming in the country,None/No party,Fairly interested,East Midlands,No,Kantar,Lincoln,E14000792,19/07/2017,1,1,1,A-level,Voted
12419,immigration,Labour,Fairly interested,East Midlands,No,Kantar,Lincoln,E14000792,21/07/2017,1,1,2,No qualifications,Voted
12421,"immigration, on te back of the brexit vote, we choose to go out but now I think it is no longer in our interest to do so. it is not the end of the light in the tunnel now",Conservatives,Very interested,East Midlands,No,Kantar,Lincoln,E14000792,08/07/2017,1,1,1,Below GCSE,Voted
12516,"worried how Trump will lead a into a nuclear war, thinks Trump is trigger happy",Conservatives,Fairly interested,East Midlands,No,Natcen,Loughborou,E14000797,25/07/2017,1,1,1,No qualifications,Not voted-registered
12519,"problems with the NHS, nurses overworked",None/No party,Not at all interested,East Midlands,No,Natcen,Loughborou,E14000797,25/07/2017,1,1,1,No qualifications,Not voted-registered
12521,wages and jobs,Labour,Not at all interested,East Midlands,No,Natcen,Loughborou,E14000797,27/07/2017,1,1,2,A-level,
12523,Britain is a bloody mess.  Too many chiefs and not enough indians (the cowboy type!) Too many foreigners being let in,None/No party,Not very interested,East Midlands,No,Natcen,Loughborou,E14000797,20/07/2017,1,1,1,GCSE,
12601,finance not enough money to go around,None/No party,Fairly interested,East Midlands,Yes,Natcen,Loughborou,E14000797,27/07/2017,1,1,2,Undergraduate,Voted
12616,"no money for the NHS, too many people, we are full",Conservatives,Not at all interested,East Midlands,No,Natcen,Loughborou,E14000797,12/08/2017,1,1,1,No qualifications,
12617,too many people we let too many people into our country and it is too small there sre not enough jobs for everyone,None/No party,Not at all interested,East Midlands,No,Natcen,Loughborou,E14000797,20/07/2017,1,1,1,Below GCSE,
12624,Brexit Government will take advantage to lose a lot of valiable legislation,None/No party,Very interested,East Midlands,No,Natcen,Loughborou,E14000797,25/07/2017,1,1,1,Undergraduate,Voted
12717,over poulation,None/No party,Not very interested,East Midlands,No,GfK,Mansfield,E14000810,12/09/2017,1,1,2,No qualifications,
12718,brexit,Labour,Very interested,East Midlands,No,GfK,Mansfield,E14000810,06/09/2017,1,1,2,Undergraduate,
12720,ecconmey,Labour,Not very interested,East Midlands,No,GfK,Mansfield,E14000810,07/09/2017,1,1,2,No qualifications,Voted
12721,too many imigrants,None/No party,Fairly interested,East Midlands,No,GfK,Mansfield,E14000810,07/09/2017,1,1,1,No qualifications,
12724,brexit,Don`t know,Not at all interested,East Midlands,No,GfK,Mansfield,E14000810,27/09/2017,1,1,1,A-level,Not voted-registered
12725,foreigners coming into country,Labour,Not very interested,East Midlands,No,GfK,Mansfield,E14000810,07/09/2017,1,1,1,No qualifications,
12815,brexit,Conservatives,Not very interested,East Midlands,No,GfK,Mansfield,E14000810,06/09/2017,1,1,2,No qualifications,Voted
12816,brexit,Labour,Very interested,East Midlands,No,GfK,Mansfield,E14000810,16/09/2017,1,1,1,No qualifications,Voted
12817,public moral,Conservatives,Fairly interested,East Midlands,No,GfK,Mansfield,E14000810,25/09/2017,1,1,1,A-level,Voted
12821,uncertanty brexit,None/No party,Not very interested,East Midlands,No,GfK,Mansfield,E14000810,16/09/2017,1,1,2,Undergraduate,Not voted-unregistered
13102,"Influx of immigrants, who can in some cases can have raacist attitudes.",United Kingdom Independence Party (UKIP),Very interested,East Midlands,Yes,Kantar,North East,E14000843,24/07/2017,1,1,2,GCSE,Voted
13121,"Brexit, ensuring we get the best deal, don't give in to all EU desires and make sure we're competitive to trade with the rest of the world",Conservatives,Very interested,East Midlands,No,Kantar,North East,E14000843,31/07/2017,1,1,3,Undergraduate,Voted
13124,"Brexit, different peoples idea of what brexit is and what it's going to involve.",Conservatives,Fairly interested,East Midlands,No,Kantar,North East,E14000843,25/07/2017,1,1,2,Undergraduate,Voted
13202,Brexit. Financial stability of the country,Conservatives,Fairly interested,East Midlands,Yes,Kantar,North East,E14000843,24/07/2017,1,1,1,Undergraduate,Voted
13204,"Brexit, there no one clever enough to lead",Liberal Democrats,Fairly interested,East Midlands,Yes,Kantar,North East,E14000843,25/07/2017,1,1,1,Undergraduate,Voted
13219,Lack of funds,Conservatives,Very interested,East Midlands,No,Kantar,North East,E14000843,24/07/2017,1,1,2,Undergraduate,Voted
13220,"Immigration, due to numbers coming in there are too many british nationals unemployed.",Conservatives,Fairly interested,East Midlands,No,Kantar,North East,E14000843,14/08/2017,1,1,2,Undergraduate,Voted
13221,"Poverty, personal debt issues",Labour,Fairly interested,East Midlands,No,Kantar,North East,E14000843,19/08/2017,1,1,2,Undergraduate,Voted
13306,sovereignty: we need to rule our own country:,Conservatives,Fairly interested,East Midlands,Yes,GfK,Northampto,E14000861,03/07/2017,1,1,2,Postgrad,Not voted-registered
13315,"division: which the referendum highlighted: even my friendship group I knew no-one who voted the same as me: quite surprised: I lived in London at the time, and saw a lot of division[racial discrimination: that the pre-referendum campaignin",Other,Fairly interested,East Midlands,No,GfK,Northampto,E14000861,19/08/2017,1,1,2,Undergraduate,
13320,the government:[p] the cutbacks: especially for the old/nurses/schools/carers/: the government do not do enough to help our country.,Labour,Fairly interested,East Midlands,No,GfK,Northampto,E14000861,10/08/2017,1,1,1,No qualifications,Voted
13322,"over-population, they are building everywhere, as in people-per-sq-mile we are very overpopulated",None/No party,Very interested,East Midlands,No,GfK,Northampto,E14000861,24/07/2017,1,1,2,Undergraduate,Voted
13415,"i think poverty, really; especially people in public sector with salaries frozen for years, but the cost of living haas gone up; and the [apparently irrational] management of state benefits, such as child tax credits",None/No party,Fairly interested,East Midlands,No,GfK,Northampto,E14000861,01/08/2017,1,1,2,Undergraduate,Voted
13416,foreigners,Conservatives,Not at all interested,East Midlands,No,GfK,Northampto,E14000861,19/07/2017,1,1,2,No qualifications,Voted
13423,Brexit: when we leave the EU we will be poorer,Scottish National Party (SNP),Fairly interested,East Midlands,No,GfK,Northampto,E14000861,24/07/2017,1,1,2,Undergraduate,Voted
13425,WE HAVE GOT THE GOVERNMENT WHO IS MORE INTERESTED IN PEOPLE WHO ALREADY GOT THE MONEY.,Labour,Very interested,East Midlands,No,GfK,Northampto,E14000861,15/09/2017,1,2,2,Undergraduate,Voted
13426,"AUSTERITY AND FINANCIAL SITUATION, WE SHOULD CONTINUE WITH AUSTERITY",Labour,Fairly interested,East Midlands,No,GfK,Northampto,E14000861,15/09/2017,1,2,2,Undergraduate,Voted
13510,immigration - people coming here and not contributing only taking,Conservatives,Not at all interested,East Midlands,Yes,Kantar,Northampto,E14000862,10/07/2017,1,1,2,Undergraduate,
13518,"too many people, causing shortaged of jobs, housing and nhs facilities.",Other,Not at all interested,East Midlands,No,Kantar,Northampto,E14000862,17/07/2017,1,1,1,A-level,
13520,"foreigners - they are causing housing shortages, particularly social housing",Don`t know,Not at all interested,East Midlands,No,Kantar,Northampto,E14000862,19/07/2017,1,1,1,No qualifications,
13523,Racism - country's economics not helping,None/No party,Fairly interested,East Midlands,No,Kantar,Northampto,E14000862,05/09/2017,1,1,1,A-level,
13618,brexit - just the whole thing,Labour,Not very interested,East Midlands,No,Kantar,Northampto,E14000862,24/07/2017,1,1,2,Postgrad,Voted
13621,"Immigration. Conservatives are trying to stop immigration, but it should be allowed under control",Labour,Not very interested,East Midlands,No,Kantar,Northampto,E14000862,23/09/2017,1,1,3,A-level,Not voted-unregistered
13623,-1,,Not very interested,East Midlands,No,Kantar,Northampto,E14000862,28/07/2017,1,1,2,Below GCSE,Not voted-registered
13908,Not enough money spent on the Police and the prison service,Conservatives,Fairly interested,East Midlands,Yes,Kantar,Rutland an,E14000909,21/07/2017,1,1,2,GCSE,
13915,Too much immigration from third world  countries - includes illegal and legal,Conservatives,Fairly interested,East Midlands,No,Kantar,Rutland an,E14000909,05/09/2017,1,1,4,Postgrad,
13916,Immigration,Don`t know,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,14/07/2017,1,1,2,A-level,
13919,People need to take responsibility for their own future.,None/No party,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,25/07/2017,1,1,2,Undergraduate,
13921,We all need to work together in the write direction.,Conservatives,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,24/07/2017,1,1,2,GCSE,
13923,Immigration - from all countries,United Kingdom Independence Party (UKIP),Fairly interested,East Midlands,No,Kantar,Rutland an,E14000909,05/09/2017,1,1,2,,
13924,Get out of Europe.,Conservatives,Very interested,East Midlands,No,Kantar,Rutland an,E14000909,11/07/2017,1,1,2,Undergraduate,
14006,Brexit. We don't really know what is going to happen.,None/No party,Fairly interested,East Midlands,Yes,Kantar,Rutland an,E14000909,19/07/2017,1,1,2,A-level,Voted
14016,NHS,None/No party,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,11/07/2017,1,1,2,Undergraduate,Voted
14017,Brexit. Lack of understanding,Conservatives,Fairly interested,East Midlands,No,Kantar,Rutland an,E14000909,15/07/2017,1,1,2,No qualifications,Not voted-registered
14018,financing the wrong things ie Govt awareded themselves 15% pay award.,None/No party,Fairly interested,East Midlands,No,Kantar,Rutland an,E14000909,12/07/2017,1,1,2,Undergraduate,Voted
14020,Immigration.,Don`t know,Not at all interested,East Midlands,No,Kantar,Rutland an,E14000909,15/07/2017,1,1,2,Undergraduate,Not voted-registered
14021,Brexit. That it goes well for this country.,Conservatives,Fairly interested,East Midlands,No,Kantar,Rutland an,E14000909,13/07/2017,1,1,2,Undergraduate,Voted
14022,Brexit. How is it going to affect us as individuals,Conservatives,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,21/07/2017,1,1,1,Undergraduate,Not voted-registered
14023,Brexit. Just sorting out all the red tape. Impact on other countries. Cost.,Conservatives,Not very interested,East Midlands,No,Kantar,Rutland an,E14000909,12/07/2017,1,1,3,Undergraduate,Voted
14116,immigration,Labour,Not very interested,East Midlands,No,Natcen,Sleaford a,E14000929,31/07/2017,1,1,1,No qualifications,Not voted-unregistered
14122,brexit people who voted to go out may now regret,Conservatives,Fairly interested,East Midlands,No,Natcen,Sleaford a,E14000929,04/08/2017,1,1,1,GCSE,Not voted-unregistered
14123,nhs in crisis,Labour,Very interested,East Midlands,No,Natcen,Sleaford a,E14000929,31/07/2017,1,1,1,Postgrad,Insufficient information
14125,dont know,Don`t know,Not very interested,East Midlands,No,Natcen,Sleaford a,E14000929,11/08/2017,1,1,2,GCSE,
14210,financial the balancing of the books,Conservatives,Fairly interested,East Midlands,Yes,Natcen,Sleaford a,E14000929,31/07/2017,1,1,2,Undergraduate,Voted
14215,brexit,Conservatives,Fairly interested,East Midlands,No,Natcen,Sleaford a,E14000929,01/09/2017,1,1,2,No qualifications,Voted
14220,"uncertainty over brexit ,health , not knowing whats happening in the future",Conservatives,Very interested,East Midlands,No,Natcen,Sleaford a,E14000929,02/08/2017,1,1,3,,Voted
14224,"brexit and about that ,north korea",Labour,Very interested,East Midlands,No,Natcen,Sleaford a,E14000929,05/09/2017,1,1,2,Undergraduate,Voted
14504,financial crisis,Conservatives,Fairly interested,Eastern,Yes,Natcen,Bedford,E14000552,07/08/2017,1,1,1,Undergraduate,Voted
14517,"god, more people should believe in god",Don`t know,Very interested,Eastern,No,Natcen,Bedford,E14000552,21/07/2017,1,1,4,No qualifications,Ineligible
14520,gang violence and acid throwing,Don`t know,Not very interested,Eastern,No,Natcen,Bedford,E14000552,23/07/2017,1,1,3,A-level,Not voted-registered
14617,natioonal divide in the country causing terrorism,Labour,Fairly interested,Eastern,No,Natcen,Bedford,E14000552,22/07/2017,1,1,1,Postgrad,Not voted-unregistered
14618,"unemployment, benefit cutbacks",Labour,Fairly interested,Eastern,No,Natcen,Bedford,E14000552,28/07/2017,1,1,2,A-level,Voted
14621,health,Conservatives,Very interested,Eastern,No,Natcen,Bedford,E14000552,14/07/2017,1,1,1,Undergraduate,
14624,brexit,Conservatives,Very interested,Eastern,No,Natcen,Bedford,E14000552,28/07/2017,1,1,1,No qualifications,Voted
14625,"nhs/cutbacks, people being fobbed off due to lack of money",None/No party,Not very interested,Eastern,No,Natcen,Bedford,E14000552,31/07/2017,1,1,2,A-level,Not voted-registered
14626,"politicians are all talk, dont do what they say they will",None/No party,Not at all interested,Eastern,No,Natcen,Bedford,E14000552,21/07/2017,1,1,1,No qualifications,Not voted-registered
14707,"Brexit, needs negotiations ;  p none",None/No party,Very interested,Eastern,Yes,Natcen,Brentwood,E14000594,30/07/2017,1,1,2,Postgrad,Voted
14716,"Immigration, need border control, only need skilled people p; none",None/No party,Fairly interested,Eastern,No,Natcen,Brentwood,E14000594,25/07/2017,1,1,1,GCSE,
14720,"NHS, p;  people are on waiting list",Don`t know,Not very interested,Eastern,No,Natcen,Brentwood,E14000594,15/08/2017,1,1,1,GCSE,
14721,Isis; Crime,None/No party,Not very interested,Eastern,No,Natcen,Brentwood,E14000594,15/08/2017,1,1,2,No qualifications,
14815,"Brexit, cutting from eu will be a huge problems, p; none",Don`t know,Fairly interested,Eastern,No,Natcen,Brentwood,E14000594,25/07/2017,1,1,1,GCSE,Voted
14816,"Brexit, p; none",Conservatives,Fairly interested,Eastern,No,Natcen,Brentwood,E14000594,01/08/2017,1,1,3,Postgrad,
14817,"Immigration, the amount of people in the country, we need dkilled people, none",Conservatives,Fairly interested,Eastern,No,Natcen,Brentwood,E14000594,20/07/2017,1,1,3,Below GCSE,Voted
14818,"Brexit, to make a decision and its a negative impact on the econmy p; none",Conservatives,Fairly interested,Eastern,No,Natcen,Brentwood,E14000594,25/07/2017,1,1,1,Undergraduate,
