voted,tory_vote,election_interest,civic_duty,party_id,ideo_lr,ideo_pc1,ideo_pc2,vote_leave,class,female,edlevel,region
0,0,4,3,Conservative,5,0.164841161974219,-1.3525910281301798,0,2,0,0,East Midlands
0,0,4,4,Labour,5,0.0866164965398837,-0.7549780142182149,0,2,1,1,East Midlands
1,0,1,5,Labour,2,-1.0534009626935898,1.80159949777201,0,1,1,4,East Midlands
0,0,3,1,None / No party/ uncommitted,5,1.4892916975423602,0.9978913140118209,0,2,0,0,East Midlands
0,0,1,5,Labour,3,1.21952437360129,-1.5983752639490199,0,1,1,4,East Midlands
1,0,2,4,Labour,5,-0.17322693372426598,0.6304811478782479,1,1,1,0,East Midlands
0,0,2,5,Labour,5,0.634516843322117,0.10066849451398499,1,2,1,0,East Midlands
1,0,3,4,Labour,5,-1.6380181428852498,-2.57612174667479,0,-1,1,3,East Midlands
1,0,2,4,Labour,5,1.0059762881124699,0.979015552682606,0,2,1,0,East Midlands
1,1,1,1,Conservative,7,1.71262253058633,0.671355645311947,1,2,1,0,East Midlands
1,0,1,5,Labour,5,-0.4606566672339679,1.6617885972109698,0,-1,1,0,East Midlands
1,1,1,3,Conservative,6,-1.00428250116642,-0.517238463963911,1,2,0,3,East Midlands
0,0,2,4,Conservative,5,0.42671154545821505,-0.537590214631921,0,-1,0,4,East Midlands
1,0,1,1,Labour,5,0.857102490103275,-0.5892093285554799,1,2,0,2,East Midlands
1,1,1,4,Conservative,10,1.16155496239375,-1.5390462584891298,1,1,0,4,East Midlands
1,1,1,5,Conservative,8,0.9488098093834599,-0.0437578245735636,1,2,1,4,East Midlands
0,0,2,4,Conservative,5,-0.9623127200334629,-0.841864019559434,0,1,1,4,East Midlands
1,0,1,4,Liberal Democrat,5,0.5352965682042989,0.324192710454443,1,2,1,4,East Midlands
1,1,1,4,Conservative,6,0.8994170002114069,-0.37654269887730607,0,1,1,4,East Midlands
1,1,1,4,Labour,7,1.6466461125176102,0.347601644624706,1,2,0,4,East Midlands
1,0,1,4,Liberal Democrat,3,-0.988375703839485,1.67773413210488,0,1,0,4,East Midlands
0,0,1,4,Conservative,5,2.03673486890075,0.131871559156757,0,1,0,5,East Midlands
1,0,1,5,Labour,3,-1.8588605579176998,0.684675136264751,0,1,1,4,East Midlands
1,0,1,5,Labour,5,1.57827287804357,0.34180831796132105,1,2,1,0,East Midlands
1,0,2,5,Labour,3,0.617592988151325,1.3673207350433303,1,2,0,4,East Midlands
1,0,1,5,Labour,5,0.177784966550112,1.4435336859974501,1,2,1,4,East Midlands
1,1,3,4,Conservative,4,2.42727718089788,-0.16354589565342,1,1,1,0,East Midlands
1,0,2,3,Labour,5,2.9212674798674203,-0.23790809226722304,0,2,0,4,East Midlands
1,0,1,4,Labour,1,-0.70406476444413,3.1646473588861204,0,1,0,4,East Midlands
1,0,1,5,Labour,3,-1.1366097009665,2.54045969722997,0,2,1,4,East Midlands
0,0,2,1,Conservative,8,0.48659836587378,0.948689224854443,1,1,1,4,East Midlands
1,0,2,4,None / No party/ uncommitted,4,0.729932419603246,3.16571135715611,1,2,0,3,East Midlands
0,0,4,2,Labour,5,0.285431897049847,-1.03999521413153,0,2,1,0,East Midlands
0,0,2,4,Labour,5,0.086419361243206,0.0684347470031168,0,2,1,3,East Midlands
1,0,2,4,Labour,2,-1.80423763758842,1.4741758794078899,0,1,1,5,East Midlands
0,0,2,2,Labour,3,0.0452409036744094,1.8764441710955102,0,2,1,3,East Midlands
0,0,3,1,United Kingdom Independence Party (UKIP),0,1.11350897340923,-0.15045233896594598,1,1,0,1,East Midlands
1,1,1,5,Conservative,5,1.62907452251269,-0.993600408068353,1,2,1,2,East Midlands
1,1,1,3,Conservative,9,0.508818749759436,-2.06056140127674,1,1,0,5,East Midlands
0,0,2,5,None / No party/ uncommitted,5,1.99387887538535,1.29053696273858,1,2,0,3,East Midlands
1,1,2,2,Conservative,5,-0.445486150294304,0.7928214912235391,0,1,1,4,East Midlands
1,1,3,5,Conservative,5,0.862800465768416,0.541894026063456,0,1,0,2,East Midlands
1,1,2,2,Conservative,5,2.21496479240845,-0.37300033871460797,1,1,0,0,East Midlands
1,1,1,4,Conservative,10,1.37154097990536,-3.13930737981808,1,1,0,4,East Midlands
1,0,1,4,Labour,5,0.0280719079978122,0.10845373310277302,0,2,1,3,East Midlands
1,0,3,4,Labour,4,-2.00592922836151,1.03598142642578,0,2,1,4,East Midlands
1,0,2,4,Green Party,5,-0.102423647077714,-2.60533017292087,1,1,1,0,East Midlands
1,0,1,5,Labour,5,-0.266530246598212,2.28045993646627,1,1,0,4,East Midlands
0,0,4,3,None / No party/ uncommitted,5,1.1820889711091598,1.42598853094192,0,1,1,4,East Midlands
1,1,1,5,Conservative,7,-1.88823787081983,-1.47173961873809,1,1,0,4,East Midlands
0,0,2,3,Conservative,5,2.59815830444214,-0.386351491512693,0,1,1,4,East Midlands
1,1,1,4,Conservative,5,-0.507600978457458,-1.11322455706874,0,1,1,4,East Midlands
0,0,4,1,Conservative,5,-1.63417196120402,0.378057166436062,0,2,1,0,East Midlands
1,1,2,4,Conservative,5,-1.48863618086378,1.66119191951263,1,2,1,2,East Midlands
1,0,1,3,Green Party,3,-1.86075357617151,2.38768026570539,0,1,1,5,East Midlands
0,0,3,3,Don`t know,5,0.335262330265083,0.22602053971782896,0,2,0,2,East Midlands
1,1,1,4,Conservative,7,0.966895378808925,-1.31782754034569,0,1,0,4,East Midlands
1,1,1,3,Conservative,6,1.09994829788328,-0.989669048255492,1,1,0,0,East Midlands
1,0,1,4,Liberal Democrat,6,-0.47742995556640105,-0.056725439689462996,0,1,0,0,East Midlands
1,0,1,4,Labour,4,-2.5653240529524703,0.9378967686846171,0,-1,1,4,East Midlands
1,0,1,5,Conservative,4,0.6972290332561889,0.390944965638534,0,1,0,4,Eastern
0,0,1,4,None / No party/ uncommitted,8,0.33909978263958,-0.7130202481873271,0,2,1,0,Eastern
1,0,3,4,None / No party/ uncommitted,5,0.229081735903531,-0.323657570103051,0,2,1,3,Eastern
1,0,1,4,Labour,4,0.709531503288301,1.3271683555676201,1,2,1,5,Eastern
1,0,2,4,Labour,4,0.178194657933643,0.504882471398923,0,2,0,3,Eastern
1,1,1,4,Conservative,7,2.81195485451697,-0.501698723341188,0,1,1,4,Eastern
1,1,1,4,Conservative,8,0.8284814178797869,-0.873202029958485,1,2,1,0,Eastern
0,0,3,3,Labour,5,0.67765620416198,-0.18804590078248395,1,2,1,3,Eastern
0,0,4,1,Conservative,5,-0.639877830624301,2.27111725252165,0,1,1,0,Eastern
1,0,1,4,Liberal Democrat,4,-2.3039461284125697,-1.09599099722856,0,1,1,5,Eastern
1,1,1,4,Conservative,7,-0.579983620472301,-1.13564711857981,1,1,0,2,Eastern
1,0,2,4,Labour,5,-3.9996673170291603,2.35198007090701,0,2,1,2,Eastern
0,0,2,3,Labour,4,-1.72866878400285,-0.51931077575136,0,2,1,0,Eastern
1,0,2,4,Labour,3,-1.20155621586129,1.50877034298987,0,2,0,2,Eastern
1,1,1,4,Conservative,7,-3.7076875473726805,-2.08006745089221,0,1,1,5,Eastern
1,1,2,4,Conservative,8,-0.618998347239129,0.239831125040666,1,1,1,1,Eastern
1,1,3,4,Liberal Democrat,5,-1.06411824350286,0.21818981000471302,0,1,0,4,Eastern
1,1,1,4,Conservative,6,0.10806245905854901,-1.61031675805844,0,2,1,1,Eastern
1,0,1,5,Refused,5,0.6861551424546689,-1.44726966151032,0,1,0,4,Eastern
1,1,2,4,United Kingdom Independence Party (UKIP),6,1.4371843231811101,-0.7949592041891178,1,2,1,2,Eastern
1,0,2,4,Labour,4,-0.8969067608311491,0.39636426310050604,1,2,1,2,Eastern
1,1,1,3,Conservative,6,1.07311692592759,-0.36870953505372894,1,1,0,4,Eastern
0,0,2,4,Conservative,6,0.5073420442384171,-0.312284574327281,0,1,0,2,Eastern
1,0,2,5,Labour,6,0.661883439367375,1.2324891624917098,1,2,1,0,Eastern
1,1,2,3,Conservative,5,0.545411497031888,-0.722129886259296,1,1,0,4,Eastern
1,1,1,5,Conservative,9,1.4400625839190702,-1.4994805130746,1,2,1,1,Eastern
1,0,1,4,Labour,3,-0.635785974914328,1.58177905303781,0,1,1,3,Eastern
1,1,1,4,United Kingdom Independence Party (UKIP),5,1.80413661251088,-3.1430537440645496,1,1,0,1,Eastern
1,0,2,3,Conservative,5,1.15446249399326,1.50619895036393,1,2,1,3,Eastern
1,0,1,4,Labour,5,-0.577203645669245,0.14431405136602,1,2,1,2,Eastern
0,0,1,5,Labour,5,0.9954705119584809,-1.2852962530532301,0,2,1,0,Eastern
1,0,1,5,Labour,5,-0.526844399807057,-0.156486621806665,1,2,1,0,Eastern
0,0,2,2,Labour,5,0.29157626156289895,1.7005892125206201,1,2,1,0,Eastern
0,0,1,4,Conservative,8,0.7847972459141479,-0.335763568284093,0,2,0,2,Eastern
1,1,1,4,Conservative,8,-0.794428733384367,0.279087817109608,0,1,1,4,Eastern
1,0,1,3,Liberal Democrat,7,1.06070866837787,0.9915070660359492,0,1,1,4,Eastern
1,0,1,4,Labour,3,0.148264282701571,2.01810899271389,1,2,1,0,Eastern
0,0,2,4,Conservative,5,-2.22733794993681,-2.3947455764749503,1,2,1,2,Eastern
1,1,1,4,Conservative,8,0.251996843891517,-0.5839257888960021,1,1,1,3,Eastern
1,1,1,4,Conservative,7,0.115528187127458,-1.9708048360495298,1,2,1,0,Eastern
1,1,1,3,Labour,5,-1.3309071775022001,0.27179584188033,0,1,1,4,Eastern
1,1,1,3,Conservative,7,1.85187694073471,-0.45735130150746706,1,1,0,3,Eastern
1,1,2,3,Labour,5,0.387011960869755,0.257833775178573,1,2,0,0,Eastern
0,0,2,4,Labour,5,2.2849229745627797,-0.5692773332266,0,2,1,0,Eastern
1,0,2,4,Labour,5,2.0387426530316897,0.15437790974208201,1,2,1,0,Eastern
0,0,2,4,Labour,5,0.6750066682936999,0.00730112005070312,0,2,0,2,Eastern
1,1,1,5,Conservative,6,-1.104903147207,0.10366289702516199,1,2,1,4,Eastern
1,0,1,4,Liberal Democrat,5,0.0466861860748904,0.129129473399071,0,1,1,2,Eastern
1,0,2,2,Labour,8,1.7079743166340402,-1.0326721045709,0,2,1,0,Eastern
1,1,2,4,Conservative,4,0.47423567597240396,-0.8730455989444749,1,2,1,4,Eastern
1,0,2,4,Don`t know,4,-1.1310159676641298,-3.67729824380593,0,2,1,4,Eastern
0,0,4,4,None / No party/ uncommitted,5,1.3224743413178301,0.8301599690631659,0,2,0,4,Eastern
1,1,1,4,Conservative,2,1.5729540936726698,-0.302583453369172,0,2,0,0,Eastern
1,1,1,1,Conservative,8,0.9204365356942672,-1.0088109596305699,1,2,0,0,Eastern
1,0,2,4,Liberal Democrat,4,1.8954196695151102,0.0591915884443333,0,2,0,0,Eastern
0,0,3,3,Conservative,2,1.6595685335646297,-2.14273600743433,0,2,0,0,Eastern
0,0,3,3,Don`t know,3,-0.642993103776747,-2.6298637677419703,0,2,1,0,Eastern
1,0,1,1,Labour,5,-2.13595378913189,0.7473498775162158,0,2,1,2,Eastern
1,0,1,4,Labour,5,0.36399982926991997,0.8474261458742671,1,2,0,2,Eastern
0,0,4,2,Labour,5,0.40997102133749896,-0.236087689399613,0,2,0,0,Eastern
1,1,1,5,Conservative,6,1.20694160043522,-0.8549073566703771,1,2,1,3,Eastern
1,1,1,4,Conservative,5,1.02680325102379,-0.8764664721154599,1,1,0,4,Eastern
0,0,2,4,Conservative,6,0.321574945181782,-1.68747519281277,0,1,1,0,Eastern
1,0,1,4,Labour,3,-1.7685792620204,1.4572825266165301,0,1,0,4,Eastern
1,0,1,4,Labour,4,-0.050104010393142995,1.40653556893036,0,1,1,4,Eastern
1,1,1,4,Conservative,7,-1.36744022844867,0.37972196445188394,0,1,0,5,Eastern
1,0,2,4,None / No party/ uncommitted,5,-2.38011643104826,0.7054967358913921,1,2,0,2,Eastern
1,0,2,4,Conservative,5,-0.342218415682665,0.49528910255886704,0,1,1,4,Eastern
1,1,1,5,Liberal Democrat,5,0.455718532765916,-0.924466966648938,0,2,1,4,Eastern
0,0,3,2,None / No party/ uncommitted,3,2.15849721974228,0.42935686785900606,1,2,0,0,Eastern
1,1,4,4,Conservative,5,-2.50497479456366,0.274440246748216,0,1,1,2,Eastern
1,0,2,2,None / No party/ uncommitted,5,-4.8598705229312005,-3.5683813657435697,0,2,1,4,Eastern
1,0,1,4,Liberal Democrat,4,-1.2913269106648602,-0.689062797898066,0,1,0,2,Eastern
1,1,1,3,Conservative,7,-1.5996957438294,-0.7824557491072829,0,1,0,5,Eastern
1,0,1,5,Labour,2,-0.436108931902896,2.1380215078475002,0,1,1,5,Eastern
1,1,1,2,Conservative,5,-0.882380097192406,0.0902207874875215,0,-1,0,0,Eastern
0,0,2,4,None / No party/ uncommitted,3,-1.95153187030521,0.8453988321736109,0,1,0,4,Eastern
1,1,1,3,Conservative,6,-6.17169123676979,0.0244514618413978,1,1,0,4,Eastern
1,1,1,4,Labour,2,1.96811265975896,1.5063561813073998,1,2,0,4,Eastern
1,1,1,4,Conservative,8,2.01228071135254,0.674831597088957,1,1,0,4,Eastern
1,0,1,4,Labour,3,0.0274045026214911,1.034399312146,0,2,0,1,Eastern
1,1,1,5,Conservative,8,0.3163591736948,-0.533578473518442,1,2,1,1,Eastern
1,1,1,3,Conservative,8,1.62015635039624,-0.587771396818755,1,2,1,3,Eastern
1,0,3,1,Don`t know,5,0.7820132383278442,-0.12936878751250802,1,1,1,0,Eastern
1,0,3,2,Labour,5,0.42343377612385796,0.0266169642191357,0,2,0,0,Eastern
1,1,2,4,Conservative,6,0.41528096653298996,-1.00382651300354,1,1,1,2,Eastern
1,1,3,4,Conservative,5,-0.313127086344282,-0.274101692756989,0,1,1,3,Eastern
1,1,1,4,Conservative,6,-0.452869799095631,0.7265187072086899,0,1,1,2,Eastern
1,0,2,4,Labour,3,-2.24601886902337,0.27968342075431296,0,2,1,4,Eastern
1,0,2,5,Don`t know,5,-0.340640482081465,0.8698983744268369,1,2,1,2,Eastern
1,0,1,5,Refused,5,-2.11572869526418,-0.791629773285355,0,1,0,5,Eastern
1,1,1,5,Labour,5,1.2511276994921898,0.752582919745148,1,2,1,0,Eastern
1,0,2,5,Labour,5,2.04189235637323,1.61344027305402,1,2,1,0,Eastern
1,0,2,1,Don`t know,4,1.23166573714122,0.280294212099065,0,2,1,2,Eastern
1,1,1,4,Conservative,5,-0.805752850384251,-1.9057269108557702,1,2,1,4,Eastern
0,0,2,3,Labour,4,0.488018808312914,-0.145684843768154,0,2,1,4,Eastern
1,1,2,4,Conservative,10,1.7233851529756201,-0.180572505446982,1,1,1,0,Eastern
0,0,1,2,Labour,5,-1.0923466966738802,1.5096244791213798,1,2,1,0,Eastern
0,0,3,2,None / No party/ uncommitted,5,0.100267354322432,0.41485389659040994,0,2,0,4,Eastern
1,0,2,4,United Kingdom Independence Party (UKIP),7,1.98320509533925,-0.7529594226885791,1,2,1,2,Eastern
1,1,1,4,Conservative,5,-0.921516453043562,-1.20577244191565,1,2,1,4,Eastern
1,0,3,4,Labour,7,1.7570342043889697,-0.125416520451238,1,1,1,1,Eastern
1,0,1,2,Labour,0,0.350085075012361,0.5002947642752,1,1,0,4,Eastern
1,0,1,4,Labour,3,0.327592865055457,1.10077728554154,0,2,1,0,Eastern
1,1,1,5,Conservative,5,-0.9470363554099042,0.0212833395028856,1,2,1,0,Eastern
1,1,1,5,Conservative,8,0.51389299735824,-1.6035391637620802,0,2,0,4,Eastern
0,0,2,4,Labour,3,0.88898297112007,-0.336671820482522,1,2,1,3,Eastern
1,0,1,4,Refused,5,1.57402631183976,-0.7987303356403961,0,2,1,2,Eastern
1,0,2,5,Labour,5,2.76306823927173,0.483734449717022,1,2,1,3,Eastern
0,0,4,1,None / No party/ uncommitted,5,-0.476264546403169,-0.653106662777308,0,2,1,0,Eastern
1,1,2,4,Conservative,5,2.0428069315843302,-1.30508936436526,1,2,1,2,Eastern
0,0,4,1,Labour,5,-0.907793798386583,1.52002081591693,0,2,1,1,Eastern
1,1,1,5,Conservative,5,-0.0634644949886002,-2.09939580272085,0,2,1,3,Eastern
1,0,3,3,Refused,5,-0.9248433025034191,-1.7223652590518999,0,2,1,2,Eastern
1,1,1,1,Labour,4,-3.27262524089571,2.38666185840542,0,1,0,5,Eastern
1,1,1,4,Conservative,7,0.947892057144797,-0.41158438691681,0,1,1,4,Eastern
1,0,2,4,Labour,5,1.64816395384119,1.67787452051609,0,1,1,3,Eastern
1,1,2,3,Conservative,8,0.7976275821452449,-1.89267958104206,0,2,0,3,Eastern
0,0,3,4,Conservative,5,-4.50011663212395,-2.04453676339812,1,2,1,2,Eastern
1,1,3,1,Don`t know,5,0.774646938393236,-0.757352916223153,0,2,1,2,Eastern
1,0,1,4,Green Party,2,-2.18077793691736,2.47374284481022,0,1,0,3,Eastern
1,0,1,2,Liberal Democrat,8,2.38644285115126,-0.588688343076496,0,1,0,5,Eastern
1,0,1,2,Conservative,7,-0.349190155958696,0.562897115455487,0,1,0,3,Eastern
1,1,1,4,Conservative,7,0.0132863940389852,0.0741432564477929,1,1,1,4,Eastern
1,1,1,4,Conservative,7,0.9130623886572121,-1.07623351112124,1,1,0,2,Eastern
1,1,1,4,None / No party/ uncommitted,5,0.0959896291304594,-1.32185670385058,0,1,0,4,Eastern
1,1,1,2,None / No party/ uncommitted,5,-1.53969201007467,-1.84494871411702,1,1,0,5,Eastern
1,1,2,4,Conservative,7,-0.24059121003208303,-0.7519863186125959,0,1,1,4,Eastern
1,1,1,5,Conservative,5,0.576502283659626,-0.547335274845514,1,2,1,3,Eastern
1,1,1,4,Conservative,7,-1.85069109861632,-0.504066037054099,0,1,1,4,Eastern
1,0,1,2,United Kingdom Independence Party (UKIP),3,2.6005785865541897,1.2070811165634,1,2,1,0,Eastern
1,1,2,4,Conservative,5,0.40510700829841295,-0.665521738983038,1,2,1,2,Eastern
1,1,1,4,Labour,5,0.498139058267887,0.670788278637855,1,2,0,0,Eastern
1,1,2,2,Labour,6,0.218706116180128,0.19550195340980203,0,2,0,3,Eastern
0,0,3,1,None / No party/ uncommitted,5,-0.25711882122152896,0.500304719552539,1,2,1,2,Eastern
0,0,2,2,Conservative,6,0.11468248363966099,-0.766697704010822,1,2,0,1,Eastern
0,0,3,4,Labour,3,1.9622504168309298,-0.26127681861882,0,2,0,2,Eastern
0,0,4,3,None / No party/ uncommitted,5,-2.56145724312486,0.259339586354621,0,2,1,2,Eastern
1,1,2,4,None / No party/ uncommitted,5,1.10677198735682,0.39066045090220797,0,2,1,3,Eastern
