finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
10317,East Midlands,Bassetlaw,E14000546,26/07/2017,1,1,2,,58.0,"crime, lack of a visible police prense",None/No party,Fairly interested,5,8,Yes,Telegraph,No,Yes,No,No,"GBP 36,400 - GBP 39,999",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10319,East Midlands,Bassetlaw,E14000546,17/07/2017,1,1,1,,24.0,people learning to live together people of different religions living together,Labour,Very interested,5,0 Pay no attention,No,,Yes,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
10320,East Midlands,Bassetlaw,E14000546,13/08/2017,1,1,2,Voted,78.0,saftey from terriosm and saftey in general on the streets,Labour,Fairly interested,4,7,Yes,Independent/The i,Yes,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Own home outright,Christian - no denomination,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10321,East Midlands,Bassetlaw,E14000546,08/08/2017,1,1,2,,45.0,"brexit,stable leader issues.conflict between parties",Conservatives,Fairly interested,6,7,No,,No,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
10322,East Midlands,Bassetlaw,E14000546,29/08/2017,1,1,1,,93.0,"immigrants, too many coming in.",Conservatives,Not at all interested,10 Right,7,Yes,Telegraph,No,Yes,No,No,"GBP 15,600 - GBP 20,799",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10323,East Midlands,Bassetlaw,E14000546,17/07/2017,1,1,2,Voted,34.0,terrorism to make sure we are doing right thing to protect ourselves,Labour,Fairly interested,5,5,Yes,Mirror/Record,No,No,Yes,Yes,"GBP 31,200 - GBP 36,399",Own home on mortgage,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10324,East Midlands,Bassetlaw,E14000546,26/08/2017,1,1,1,,23.0,"brexit, immigration, value of pound,financial side of brexit",Don`t know,Not very interested,10 Right,2,No,,No,No,No,Yes,"GBP 15,600 - GBP 20,799",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10420,East Midlands,Bassetlaw,E14000546,26/08/2017,1,1,1,,27.0,"homlessness, ex servicemen and women facilities",None/No party,Fairly interested,5,6,No,,No,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10423,East Midlands,Bassetlaw,E14000546,18/07/2017,1,1,2,Voted,36.0,"brexit issue, work in public sector so worried about uncertanty and effects",None/No party,Fairly interested,0 Left,5,Yes,Mirror/Record,Yes,Yes,Yes,Yes,"GBP 36,400 - GBP 39,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10521,East Midlands,Bolsover,E14000577,11/08/2017,1,1,2,,40.0,"too many people and not enough resources and money, overpopulation",Conservatives,Fairly interested,5,6,No,,No,No,No,Yes,"GBP 50,000 - GBP 59,999",Own home on mortgage,No religion,,No,Female,Refused,Working part time - employee (8-29 hours),
10522,East Midlands,Bolsover,E14000577,20/07/2017,1,1,1,,44.0,"brexit, inflation and the strength of the pound and losing jobs",None/No party,Fairly interested,5,8,Yes,Mail,No,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
10607,East Midlands,Bolsover,E14000577,21/07/2017,1,1,2,,51.0,"brexit negotiations and what deal we are going to get, the deal on the getting out of europe and if we come out of it",Conservatives,Fairly interested,5,5,Yes,Mirror/Record,Yes,Yes,No,No,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10615,East Midlands,Bolsover,E14000577,20/07/2017,1,1,1,,65.0,"cuts to services, such as county council who run social services and education, nationally also worries me with welfare budgets",Don`t know,Not very interested,4,4,No,,Yes,Yes,No,No,"GBP 10,400 - GBP 15,599",Own home outright,Methodist,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10616,East Midlands,Bolsover,E14000577,02/08/2017,1,1,2,,64.0,"economy, high cost of living, low wages and no interest on your savings",None/No party,Not at all interested,5,6,No,,Yes,Yes,No,No,Refused,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10620,East Midlands,Bolsover,E14000577,11/08/2017,1,1,2,,55.0,"brexit, i feel we have voted the wrong way i dont think the country is strong enough on its own and i dont think there is a real plan",Labour,Fairly interested,2,7,No,,Yes,Yes,No,No,"GBP 31,200 - GBP 36,399",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10622,East Midlands,Bolsover,E14000577,21/07/2017,1,1,1,,57.0,"overpopulation, not only in this country but of the whole world, it is the biggest problem in this country",None/No party,Fairly interested,0 Left,10 Pay a great deal of attention,No,,Yes,Yes,No,No,"GBP 10,400 - GBP 15,599",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10623,East Midlands,Bolsover,E14000577,20/07/2017,1,1,3,,27.0,brexit the uncertainty at the minute overwhelming sense of dread,Conservatives,Very interested,7,8,Yes,Other,No,Yes,No,Yes,"GBP 75,000 - GBP 99,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
10715,East Midlands,Broxtowe,E14000607,30/07/2017,1,1,1,Voted,35.0,"Sense of disillusionment amongst the people with politics, politiians and how they manage the economy. No confience in politicans abaility to answer everyday concerns",None/No party,Fairly interested,4,6,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10721,East Midlands,Broxtowe,E14000607,25/07/2017,1,1,1,,66.0,Brexit. I'm not for spirit,Conservatives,Not very interested,4,1,No,,No,Yes,No,No,"GBP 31,200 - GBP 36,399",Rented from private landlord,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10808,East Midlands,Broxtowe,E14000607,13/07/2017,1,1,2,Voted,62.0,"Brexit, needs to be got on with",Conservatives,Fairly interested,6,8,Yes,Mail,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Christian - no denomination,Less often but at least twice a year,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
10817,East Midlands,Broxtowe,E14000607,13/07/2017,1,1,2,,56.0,There are a lot of diametically opposing views within the population,None/No party,Very interested,7,10 Pay a great deal of attention,Yes,Telegraph,No,Yes,Yes,No,"GBP 26,000 - GBP 31,199",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10821,East Midlands,Broxtowe,E14000607,10/07/2017,1,1,2,Voted,67.0,"Immigrants, getting houses and money for nothing",None/No party,Not at all interested,5,0 Pay no attention,No,,No,Yes,No,Yes,Don`t know,Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10823,East Midlands,Broxtowe,E14000607,11/07/2017,1,1,1,Voted,49.0,"Security, terrorism",None/No party,Fairly interested,7,6,Yes,Times,No,No,No,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10916,East Midlands,Charnwood,E14000625,17/08/2017,1,1,2,Voted,43.0,funding and public funding in general,Conservatives,Fairly interested,5,5,Yes,London Evening Standard,No,Yes,Yes,No,"GBP 100,000 or more",Own home on mortgage,Roman Catholic,Less often but at least once a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
10917,East Midlands,Charnwood,E14000625,03/09/2017,1,1,1,Not voted-unregistered,59.0,level of spending in national health service and education - it is far too low and the government have no intention of solving it.,Labour,Very interested,2,10 Pay a great deal of attention,No,,Yes,Yes,Yes,Yes,Refused,Own home outright,Roman Catholic,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
10918,East Midlands,Charnwood,E14000625,19/07/2017,1,1,2,Not voted-unregistered,80.0,new railway vanity project hs2,None/No party,Not very interested,7,6,Yes,Any other national paper,No,Yes,No,No,"GBP 100,000 or more",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
10920,East Midlands,Charnwood,E14000625,21/08/2017,1,1,2,Voted,36.0,brexit,Conservatives,Fairly interested,7,7,No,,No,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
10923,East Midlands,Charnwood,E14000625,13/09/2017,1,1,1,Voted,71.0,immergrtaion,Conservatives,Very interested,Don`t know,6,Yes,Mail,Yes,No,No,No,"GBP 75,000 - GBP 99,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
10924,East Midlands,Charnwood,E14000625,18/08/2017,1,1,1,Voted,80.0,national health in genral it is in a mess,Conservatives,Not very interested,5,2,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11005,East Midlands,Charnwood,E14000625,21/08/2017,1,1,2,,60.0,World insecurity North Korea Donals Trump Isis Terroism,None/No party,Very interested,3,9,Yes,Independent/The i,No,Yes,No,No,Don`t know,Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11009,East Midlands,Charnwood,E14000625,21/08/2017,1,1,1,,44.0,Brexit I am totally against it,None/No party,Fairly interested,5,6,Yes,Telegraph,No,No,Yes,Yes,Don`t know,Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least once a month,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11015,East Midlands,Charnwood,E14000625,20/09/2017,1,1,2,Voted,69.0,lack of  direction,Conservatives,Very interested,6,10 Pay a great deal of attention,Yes,Times,Yes,Don`t know,No,Yes,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a month,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11016,East Midlands,Charnwood,E14000625,18/07/2017,1,1,2,Voted,65.0,"world itself in falling apart global warming, issue",None/No party,Fairly interested,4,5,No,,No,No,No,No,"GBP 45,000 - GBP 49,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11020,East Midlands,Charnwood,E14000625,02/09/2017,1,1,2,Voted,62.0,immigration the amount that aere coming espically illegal,Conservatives,Very interested,9,9,Yes,Mail,No,Yes,No,No,"GBP 50,000 - GBP 59,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11116,East Midlands,Daventry,E14000660,05/07/2017,1,2,2,Voted,40.0,"extremistmi, racist",Labour,Fairly interested,6,9,Yes,Telegraph,Yes,No,No,Yes,"GBP 5,200 - GBP 10,399",Own home on mortgage,Islam/Muslim,Less often but at least once a month,No,Male,Pakistani,Working full time - self-employed (30+ hours),
11118,East Midlands,Daventry,E14000660,22/07/2017,1,2,2,Ineligible,30.0,"BREXIT, WE  BOTH ARE FOREIGN, SO WE DO NOT KNOW WHAT IS GOING TO HAPPEN TO PEOPLE LIKE US.",Labour,Very interested,Don`t know,9,Yes,Independent/The i,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Rented from private landlord,No religion,,No,Female,White and Black African,Working full time -  employee (30+ hours),
11119,East Midlands,Daventry,E14000660,18/07/2017,1,1,4,Not voted-registered,19.0,NOT SURE,Don`t know,Not very interested,Don`t know,0 Pay no attention,No,,No,No,No,Yes,Don`t know,Don`t know,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11121,East Midlands,Daventry,E14000660,18/07/2017,1,1,3,Voted,51.0,"BREXIT, THE UNCERTAINTY BECAUSE HOW IT IS GOING TO BE SORTED OUT, HOW DOES IT AFFECT JOBS AND ECONOMY.",Don`t know,Not very interested,6,4,No,,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11123,East Midlands,Daventry,E14000660,08/07/2017,1,1,1,Voted,88.0,"the issue is by letting people from other country in, babies born today when they grow. Then  in the future, there will be no land left. tThe land will be taken to build the houses, road, factories, because we are only a little island.",Don`t know,Fairly interested,5,5,No,,Yes,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Less often,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11126,East Midlands,Daventry,E14000660,13/07/2017,1,2,2,Voted,68.0,"immigration, we are allowing too many immigrants to come in , should have been a ban of some of them on cert___ain people.",Conservatives,Not very interested,Don`t know,2,Yes,Mail,No,Yes,No,No,Don`t know,Own home outright,Christian - no denomination,Varies too much to say,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11216,East Midlands,Daventry,E14000660,13/07/2017,1,1,1,,82.0,"TOO MANY PEOPLE LIVING IN IT, BURST IN THE SEAM",Conservatives,Fairly interested,Don`t know,8,Yes,Mail,No,Yes,No,No,Refused,Own home outright,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11217,East Midlands,Daventry,E14000660,14/07/2017,1,2,2,Voted,45.0,"brexit, what is going to happen, changes to the economy and what it means for my children future and any impacts regarding terrorism.",Conservatives,Fairly interested,7,5,No,,Don`t know,Yes,Yes,Yes,"GBP 36,400 - GBP 39,999",Own home outright,Christian - no denomination,Less often but at least twice a year,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11218,East Midlands,Daventry,E14000660,03/08/2017,1,1,1,Voted,64.0,"brexit negotiation, atttitude toward people coming to the country , i think it is wrong morally and economically. people who already here from EU union is stress for them.",Labour,Fairly interested,2,7,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 15,600 - GBP 20,799",Own home outright,Christian - no denomination,Once a week or more,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
11219,East Midlands,Daventry,E14000660,12/07/2017,1,2,2,Not voted-unregistered,60.0,"NATIONAL HEALTH SERVICE, TERRIBLE INEFFICIENCY , DOES NOT USE RESOUCES EFFECTIVELY",None/No party,Fairly interested,5,7,Yes,Times,No,Yes,No,No,"GBP 60,000 - GBP 74,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
11221,East Midlands,Daventry,E14000660,20/07/2017,1,2,2,,47.0,"Everything is going down hill, like the road, council less money, provide bins , keep up the road, they less money to provide services like genral keeping up the country.",Don`t know,Not at all interested,5,3,No,,No,No,No,No,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11222,East Midlands,Daventry,E14000660,12/07/2017,1,1,1,Not voted-registered,60.0,"THE CONFIDENCE IN THE ECONOMY, THE CONTINUITY OF WORKS",Conservatives,Not at all interested,5,3,No,,No,No,No,No,Refused,Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
11223,East Midlands,Daventry,E14000660,12/07/2017,1,1,1,Voted,53.0,"EXTRIMIST, TERRORISM, WE HAVE ALREADY HAD EXTRIMIST IN THE UK, GENERAL WORLDWIDE SITUATION AND IDEOLOGY",Conservatives,Not very interested,6,3,No,,Don`t know,Yes,No,No,"GBP 26,000 - GBP 31,199",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11508,East Midlands,Derby Sout,E14000663,10/07/2017,1,1,1,Voted,51.0,Unsettlement and disgruntlement between people,Don`t know,Fairly interested,3,6,Yes,Guardian/Observer,No,Don`t know,Yes,Yes,"GBP 36,400 - GBP 39,999",Own home outright,No religion,,Yes: staff association,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11515,East Midlands,Derby Sout,E14000663,08/08/2017,1,1,1,,34.0,more jobs with fair pay,None/No party,Not at all interested,Don`t know,Don`t know,No,,No,No,No,No,Refused,Rented from private landlord,Islam/Muslim,Less often,No,Male,Refused,Not working because long-term sick or disabled,No
11518,East Midlands,Derby Sout,E14000663,06/07/2017,1,1,1,,34.0,not enough jobs,None/No party,Fairly interested,Don`t know,8,Yes,Telegraph,No,No,No,Yes,"GBP 26,000 - GBP 31,199",It belongs to a Housing Association,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
11520,East Midlands,Derby Sout,E14000663,12/08/2017,1,1,2,,38.0,more jobs,Labour,Fairly interested,8,4,No,,Yes,Yes,No,No,"GBP 60,000 - GBP 74,999",Rented from private landlord,Islam/Muslim,Once a week or more,No,Male,Pakistani,Unemployed and actively seeking work,Yes
11521,East Midlands,Derby Sout,E14000663,21/08/2017,1,1,1,,44.0,Addressing current thug culture,Don`t know,Fairly interested,5,8,Yes,Other,No,Yes,No,No,"GBP 31,200 - GBP 36,399",Own home on mortgage,Christian - no denomination,Less often but at least once a month,No,Male,Indian,Working full time -  employee (30+ hours),
11523,East Midlands,Derby Sout,E14000663,05/08/2017,1,1,5,,20.0,Not enough affordable housing,Labour,Fairly interested,7,4,No,,No,No,No,Yes,Don`t know,Own home outright,Islam/Muslim,Once a week or more,No,Male,Pakistani,A full time student or pupil,Yes
11524,East Midlands,Derby Sout,E14000663,10/07/2017,1,1,2,Voted,21.0,Unemployment - after graduating from university more jobs required.,Liberal Democrats,Fairly interested,Don`t know,7,Yes,Telegraph,No,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11610,East Midlands,Derby Sout,E14000663,13/07/2017,1,1,2,Voted,75.0,Immigration,Conservatives,Fairly interested,5,5,Yes,Mail,No,Yes,No,Yes,"GBP 15,600 - GBP 20,799",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11615,East Midlands,Derby Sout,E14000663,12/08/2017,1,1,2,,42.0,brexit - coming out with best outcome,Labour,Fairly interested,5,7,Yes,Other,Yes,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Other non-Christian,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11617,East Midlands,Derby Sout,E14000663,31/07/2017,1,1,1,,68.0,Would change to a majority government capable of leading the country.,None/No party,Fairly interested,5,8,No,,No,Yes,No,Yes,Refused,Own home outright,Jewish,Never or practically never,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11618,East Midlands,Derby Sout,E14000663,02/08/2017,1,1,2,Voted,62.0,Getting out of Europe,Conservatives,Not very interested,4,6,Yes,Telegraph,No,Yes,No,Yes,Refused,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11620,East Midlands,Derby Sout,E14000663,02/08/2017,1,1,1,,62.0,Need more jobs care for elderly people,Labour,Fairly interested,Don`t know,5,No,,Yes,Yes,No,No,Don`t know,Own home outright,Sikh,Less often,No,Female,Indian,Retired from paid work,Yes
11621,East Midlands,Derby Sout,E14000663,25/07/2017,1,1,2,,,Not enough jobs for particular children coming out of education.,None/No party,Not very interested,Don`t know,0 Pay no attention,Yes,Any other national paper,No,No,No,No,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
11716,East Midlands,Grantham a,E14000714,30/06/2017,1,1,2,Voted,78.0,economy,Conservatives,Fairly interested,10 Right,2,No,,No,Yes,No,No,"GBP 15,600 - GBP 20,799",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
11723,East Midlands,Grantham a,E14000714,30/06/2017,1,1,3,Voted,54.0,osterity,Labour,Fairly interested,2,5,Yes,Other,No,Yes,No,No,"GBP 36,400 - GBP 39,999",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11815,East Midlands,Grantham a,E14000714,30/06/2017,1,1,2,Voted,55.0,immergration,None/No party,Fairly interested,Don`t know,5,No,,No,No,No,No,"GBP 75,000 - GBP 99,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
11821,East Midlands,Grantham a,E14000714,30/06/2017,1,1,2,Voted,61.0,terrorisim,Don`t know,Not at all interested,Don`t know,2,No,,No,No,No,Yes,Don`t know,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
11826,East Midlands,Grantham a,E14000714,30/06/2017,1,1,2,Voted,58.0,brexit,Other,Very interested,3,10 Pay a great deal of attention,No,,No,No,No,Yes,"GBP 75,000 - GBP 99,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11919,East Midlands,Harborough,E14000728,05/07/2017,1,1,1,Voted,41.0,tories,Labour,Fairly interested,1,5,No,,No,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
11920,East Midlands,Harborough,E14000728,18/09/2017,1,1,2,Voted,53.0,brexit alot of division in the countey becuase of it and it was entirely unessecesaary and you start to question democracy with that type of vote,Conservatives,Fairly interested,6,6,Yes,Guardian/Observer,No,Yes,Yes,Yes,Refused,Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11923,East Midlands,Harborough,E14000728,25/09/2017,1,1,1,Not voted-unregistered,28.0,brexit,Labour,Very interested,2,7,No,,Yes,Yes,Yes,Yes,Refused,Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
11924,East Midlands,Harborough,E14000728,05/07/2017,1,1,1,Voted,34.0,terro attacks,Labour,Very interested,6,2,No,,No,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
11925,East Midlands,Harborough,E14000728,15/09/2017,1,1,2,Voted,82.0,common market lets get out of it sooner we leave the better,Conservatives,Very interested,10 Right,8,Yes,Mail,No,Yes,No,No,"GBP 15,600 - GBP 20,799",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
